,sentence,intent
63,jamie oliver fucks meal deals tesco kill cunt,Hate
64,let borrow yo shit first,No Hate
65,wow lie n bitch url,Hate
66,stfu bitch lol u salty tryna get twitter famous ya know,Hate
67,fuck,Hate
68,sam singing didnt tell stop singing thanked unbelievable hell talking bad enough talking one houseguest keep talking wonder fa,Hate
69,think could called turncoat talking sides fucking mouth lindsey graham longer trusted url,Hate
70,fuckkk know seen bitch slapper lmao,Hate
71,little known fact balaam raced donkeys gambled races one day fastest ass winning jerusalem sweepstakes right f,No Hate
72,bitch shut building self esteem,Hate
73,amazon bitch antifa,Hate
74,lie certainly throwing gun control amp accountability window illegal involved hollering seeing shit hearing voic,No Hate
75,gonna bitch write on,Hate
76,ancient homies couldnt cock cock fighting literally illegal athens fjshdhj,No Hate
77,ancient homies couldnt cock cock fighting literally illegal athens fjshdhj,No Hate
78,fucking delusion,Hate
79,absolute dick,Hate
80,liberals act emotion understanding law go around condemning every agree completely fucked rational nobody believed women years let believe women oh screw l,Hate
81,lol idea nazis socialist complete inability grasp reality mind blowing antifa shit calling civil war defend slavery confederacy considered lincoln fascist hmmmm,No Hate
82,shit right also showed polish friends quite trigg,Hate
83,oh higher unemployment witch hunts lynch mobs antifa communist parades shit let hollywood decide feel,No Hate
84,gun control fun statue stupid child desk going change peoples case stupid give firearms free speech rights one government fuck,No Hate
85,fuck u,Hate
86,niggaz buying pussy bitches trying buy lov,Hate
87,niggaz buying pussy bitches trying buy lov,Hate
88,suffer fools seen enough shit last nine l,No Hate
89,believe woman person would volunteer shit show experience true stand solidarity christine blasey ford,Hate
90,hmmm piss portion population actually supported football shocked numbers took nose dive shock,Hate
91,fucking love true actually types jobs learn,No Hate
92,ever stop lil cough eddandflow cough oh shit snapchat slip add,No Hate
93,bitch complaining corporate lobby lmaooo,Hate
94,saw shit today made want politely ask could stylist early bangle bracelets unnecessary accessories like responsible words url,No Hate
95,yyyy fuck bitch decided gone steepppp,Hate
96,yyyy fuck bitch decided gone steepppp,Hate
97,damn fell victim little thing called tos much like ones site url url,No Hate
98,coming guy worries straws cleaning failed shitty policies knows best lol,Hate
99,fucking sad,No Hate
100,actual fuck ill report fuck,Hate
101,leak shit anyways lol,No Hate
102,st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control url,Hate
103,st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control url,Hate
104,st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control url,Hate
105,st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control url,Hate
106,nike lost billion kaepernick named face bullshit,Hate
107,google go hel,Hate
108,want kiss ass,No Hate
109,lies rumors spread liberals known pattern hel,Hate
110,grew listening k shit breaks heart rip,No Hate
111,ur head bout big shit,Hate
112,blame trump weather corruption existed decades pr ass typical democrat,Hate
113,nigga snitched added spice top snitch,Hate
114,idiot fuck get peopl,Hate
115,start tweeting pussy ass shit,Hate
116,start tweeting pussy ass shit,Hate
117,start tweeting pussy ass shit,Hate
118,weak really beat ass,No Hate
119,bird ass url,Hate
120,would name dogs breed fucking clu,No Hate
121,holy shit people say nebraska fan please take dead program somewhere else keep vcr around watch highlight,No Hate
122,man tell body count refused woman fuck,No Hate
123,dumbass really thinking hell pregnant last year,Hate
124,dumbass really thinking hell pregnant last year,No Hate
125,wow really think works going tell wife going hell lol,No Hate
126,good bitch hood missed crazy thing saying em smoke house used lit everyday,No Hate
127,bitch posted kdksksks hope get better soon,No Hate
128,lol escaped shit even regret watching minut,No Hate
129,know never seen watch benfica games takes shit new level,No Hate
130,sis mandys nose havin ass grim adventures billy mandy smell shit wheeew url,No Hate
131,sis mandys nose havin ass grim adventures billy mandy smell shit wheeew url,No Hate
132,living nickname tonight fucking nightmar,No Hate
133,made wife take egghead bible challenge two kids obviously obnoxious loop shit isnt phas,No Hate
134,team even know ass,Hate
135,first time expressed dismissive attitude toward public outcry votes people factor vote ass office years think toast,No Hate
136,oh fuck tmi queen things controls conversation subtly god help comment habits decisions swear god,No Hate
137,never nigga,No Hate
138,lol trump fine people sides antifa punches nazis want punched nazis oh whaooaaaaa crazy otoh nazis literally murdering folks trying bomb shit soooo yeah ri,No Hate
139,experience problem like think suffering anti pernickety bastard disord,No Hate
140,fuckoff knew im scar,Hate
141,nope teaching give shit liberals ca think,Hate
142,fake national emergency created conservatives nwo bullshit,Hate
143,one open think sitting waiting get hit lol pick called back kyle said one receiver ran wrong route route need pick matt open ers need get head,Hate
144,saw dont think thats tattoo looks like fuckin fashion fabric string shit idk might ass looks exactly like ha,No Hate
145,saw dont think thats tattoo looks like fuckin fashion fabric string shit idk might ass looks exactly like ha,No Hate
146,saw dont think thats tattoo looks like fuckin fashion fabric string shit idk might ass looks exactly like ha,No Hate
147,wayne say trying drake shit gotta decent least,No Hate
148,educated twat speed crap read obvi,Hate
149,another twitter asshol,Hate
150,another fucking pittsburgh nazi philly antifa naming names glorious url,Hate
151,remember much making fun conservatives thinking puppets gay people upset gay pbs needs put documentary teaching people puppets mad,No Hate
152,remember much making fun conservatives thinking puppets gay people upset gay pbs needs put documentary teaching people puppets mad,No Hate
153,mad bc hot fuck,No Hate
154,never pants forever throwing people eyebrow pinched nose ass url,Hate
155,could kiss ass complete disgrace senator url,Hate
156,asshol,Hate
157,much ass tho,No Hate
158,well iwas cool girl like shit popping scared little shit pop,No Hate
159,well iwas cool girl like shit popping scared little shit pop,No Hate
160,old ass url,No Hate
161,yes shit move wind keep blessing us,No Hate
162,even wear shit buy move away,Hate
163,tell us blue npr knows kid zero experience railroaded shit mueller help actual cia spy halp,Hate
164,fuck youre gorgeous im actually sob,No Hate
165,tournament shit url,Hate
166,gunna fucking die oh god,No Hate
167,shit gon keep crib lol fuck,No Hate
168,shit gon keep crib lol fuck,No Hate
169,people chicago hell gun control works town,No Hate
170,many car windows smash today wearing pussy hat anti american antifa fucktards pathetic waste life slap ballot box url,Hate
171,shit weird lol,No Hate
172,expensive ass hel,No Hate
173,expensive ass hel,No Hate
174,dishonored zone balance dangerously high edges shitty ghetto overrun rats bloodfli,Hate
175,special kind learns correct spelling tomorrow ffs proper shit,No Hate
176,fuckass,Hate
177,figures douche would,Hate
178,villifying literally hour rant imaginary bolsheviks women stop complaining think true wrong well got news buddy means shitti,Hate
179,still canny get er somecunt maga telling us go bananas cos french boys spiking folks drinks amp kerr turns round n shouts fuck free dunt,No Hate
180,guys im literally italian know shit wtf,Hate
181,weak shit must really pain,No Hate
182,shit like follow stating basic facts totally diverting actual point stating fact phoni,Hate
183,go saturday dinner annual close pool season big ass round grounds huge ground pool know coming gore mind lol fun,No Hate
184,go saturday dinner annual close pool season big ass round grounds huge ground pool know coming gore mind lol funni,No Hate
185,uhhh sadam gassed shit kurds sp,Hate
186,never let fuck,Hate
187,definitely drunk shit,No Hate
188,create whole fake page talk shit sis really miser,No Hate
189,conservatives care democracy opinions called racist rights jeopardy anyone else give shit sad,Hate
190,holy fuck sorry someone violated trust lik,No Hate
191,way democrats smeared conservatives republicans democrats stand women sexually assaulted democratic politicians hypocrite amp need shut hel,No Hate
192,truly dumb shit,Hate
193,finna say fuck get crispy ass jogging suit,No Hate
194,finna say fuck get crispy ass jogging suit,No Hate
195,fuk fat cock suck,Hate
196,adulting knowing fucked cut future plan,Hate
197,estoy fucking alterando,No Hate
198,given option stay home stack money always tell people opportunity given take shit hel,No Hate
199,given option stay home stack money always tell people opportunity given take shit hel,No Hate
200,maybe brutally beating woman apparently spending couple hundred dollars makes beatin piss someon,No Hate
201,thought snl last guy wearing fucking beanie mindmil,Hate
202,maybe fucking hungry one knows kind home life goodness child officer could handled better sorry needs fir,No Hate
203,liberals live double standards look monica lewinski branded liar whore even produced evidence good ole bill democrat fucking insan,Hate
204,liberals live double standards look monica lewinski branded liar whore even produced evidence good ole bill democrat fucking insan,Hate
205,piece shit sorry bluntness going say think whether bluntly rud,Hate
206,time really starting hate word time world open mouth really shut time enough left liberals bull shit time case actually tim,Hate
207,eric opens door runs couch fuck yeah,No Hate
208,hyping like nigga back ima throw whole friend away,No Hate
209,guys seriously mean everyone right good people like bother shit like personally want shit stop government apparently fucking stupid gun co,No Hate
210,guys seriously mean everyone right good people like bother shit like personally want shit stop government apparently fucking stupid gun co,No Hate
211,guys seriously mean everyone right good people like bother shit like personally want shit stop government apparently fucking stupid gun co,Hate
212,haha true back original point fucking drive everything would fin,No Hate
213,holy shit pt,No Hate
214,amp trail mix kicking ass awesome keep,No Hate
215,say high value men like real thing exists amp made lie told distract fact mother never loved amp penis microscop,Hate
216,people absolutely insane liberals attacking white men years getting worse path pushing create another civil war recovery damn stupid se,Hate
217,hes sure hell one either traitor liber,No Hate
218,dumbest shit read since slent morning reading trump tweet,No Hate
219,thw fuck,No Hate
220,give fucking break liberals selective false outrage turd president gets rightfully railed saying grab pussy decades hollyweird gets pass saying fuck shit,Hate
221,give fucking break liberals selective false outrage turd president gets rightfully railed saying grab pussy decades hollyweird gets pass saying fuck shit,No Hate
222,give fucking break liberals selective false outrage turd president gets rightfully railed saying grab pussy decades hollyweird gets pass saying fuck shit,No Hate
223,give fucking break liberals selective false outrage turd president gets rightfully railed saying grab pussy decades hollyweird gets pass saying fuck shit,No Hate
224,cashing book bandwagon blame love throw money bullshit,Hate
225,fuck url,Hate
226,lose every tom jeff jerry dumb shit happens lose ful,Hate
227,fuck,Hate
228,blocked long time ago one response called lying idiot thinks hit stick loves saying stupid stuff get liberals love complete douchebag,Hate
229,one first states us legislatively legalize gay marriage extremely progressive gun control minimum wage increase free college know things count dipshits like major co,No Hate
230,bitch im gonna see december dont se,No Hate
231,gives shit,Hate
232,sexual assault agree feeling said picking pace foot turning pushing cock big toe toe lift glands mm,No Hate
233,entire article piece trash precinct full dumbfuck pig,Hate
234,hope beat ass priv,Hate
235,least type fuck,Hate
236,fuck,No Hate
237,trump could get liberals scream bloody hell open transpar,No Hate
238,lmfaoo bitch,Hate
239,u nasty bitch,Hate
240,typical backfires nothing see move along trump supporters days thing shit trump getting called nothing see move along lol,No Hate
241,bs made lying liberal cheap filthy whore whose lies help undermine real women sexually assaulted trashy liberals cares right long end justify means trashy libs tri,Hate
242,bitch u messag,No Hate
243,bullshit,Hate
244,trump publicly lusted daughter gop still elected let stop pretending morality decency means jack shit conserv,Hate
245,loser bitch lol fuck url,Hate
246,loser bitch lol fuck url,Hate
247,share twtich trying make shit work url,No Hate
248,shitty wip,Hate
249,holy fuck,No Hate
250,good christian asked god spare properties virginia beach slightly impacted know club prayer god spare mine hell everybody els,Hate
251,like sharing water un fucking r,No Hate
252,god know punch carole reunion smug asshole know dealing lot hope wel,Hate
253,holy shit sear,No Hate
254,lose tomorrow r fucked tomorrow season lol tough schedule drop one lik,No Hate
255,listen lady tweet fact sick hearing trump every time listen news idk fuck get trying spin sort racial situation part problem stop,Hate
256,listen lady tweet fact sick hearing trump every time listen news idk fuck get trying spin sort racial situation part problem stop turnin,No Hate
257,boris johnson care family forced abortion child mistress daughter says selfish bastard betrayed divorced women today,Hate
258,know storm gonna photos shit bro,No Hate
259,lose entire career people despicable know believe god hell filled liberals like diann,No Hate
260,yeah niggas dey wear durag dey joke hard fuck,No Hate
261,argue fucking day long im right,No Hate
262,really needs go talks sides mouth kiss ass,Hate
263,bitch cal,Hate
264,thing agree match point following rules think sex honestly call thief penalized shit wack,No Hate
265,second fucking nut,Hate
266,bitch fucking felt shit,No Hate
267,bitch fucking felt shit,No Hate
268,could shit would talking like butch noo already know fuck boii by,No Hate
269,could shit would talking like butch noo already know fuck boii by,Hate
270,almost forgot nigga ya past life lmao,No Hate
271,lmao fuck u ba,Hate
272,congratulaions terrific dont let fucked umpire ruin things happi,Hate
273,talk trump dick allegedly looking like toad thing accomplished libs picturing year old man naked url,No Hate
274,fuck haha,No Hate
275,want tacos want fucking gun control seriously trying capitalize tragedy url,No Hate
276,made guys dumb shit,Hate
277,dildo,Hate
278,coo got people thinking really eat ass bitch,No Hate
279,coo got people thinking really eat ass bitch,No Hate
280,trying justify death fact small amount dope fuck stop fucking killing people get damn gun control cops feel like every house apartment go could potentially gun scared people unpr,Hate
281,trying justify death fact small amount dope fuck stop fucking killing people get damn gun control cops feel like every house apartment go could potentially gun scared people unpr,Hate
282,trying justify death fact small amount dope fuck stop fucking killing people get damn gun control cops feel like every house apartment go could potentially gun scared people unpr,Hate
283,real facts suck pussy grabber mother fuck,Hate
284,real facts suck pussy grabber mother fuck,Hate
285,target brilliant keep eye esp online online shit amazing autumn oranges also target thanksgiving black friday thee place stock tf sheets year,No Hate
286,absolutely fucking done bye felicia url,No Hate
287,fix shit,Hate
288,watch obama long stomach laughs lol approves even narcissist every day full k full shit,Hate
289,fuck put hot sauce slice pizza,No Hate
290,give fucking m,No Hate
291,great today gone floris wanted spank leah wanted stab curtis back adam still looks great however old fuck kl bigger dick,Hate
292,great today gone floris wanted spank leah wanted stab curtis back adam still looks great however old fuck kl bigger dick,No Hate
293,ready crazy ass racing tomorrow,No Hate
294,exactly sorry till found people cosign bullshit idiots pair,Hate
295,yes bitch,Hate
296,like shitty restaurants advertise voted world famous crabcakes nobody tell voted nobody lives outside mile radius ever actually eaten,Hate
297,man shit got hype like watchin years ago,No Hate
298,yea shit sucks thats stopped watching anime most,No Hate
299,get hel,Hate
300,fuck yes someone pressure get every pit open,No Hate
301,total bullshit,Hate
302,smut straight hel,No Hate
303,low class asshole wear suits talk call us deplorable sit behind antifa hate filled lying son bitch party call honorable least pappy would proud,Hate
304,low class asshole wear suits talk call us deplorable sit behind antifa hate filled lying son bitch party call honorable least pappy would proud,Hate
305,irish bad bitch,Hate
306,feel dude fucking suck,No Hate
307,lemme rap shit video floatin downstream coffin like horrorland lol,No Hate
308,hope tana girl fucks anything lol,No Hate
309,fun manager stick ass would make redwood self conscious s,Hate
310,could literally give two fucks af like ummm okay thank,No Hate
311,fuck yeah go,No Hate
312,difficult woman far left leaning bitch place unbiased commentary platform get rid,Hate
313,ramos sounds like shitty ump,Hate
314,oh shit u w,No Hate
315,missing shit,No Hate
316,man glad make day saying stupid shit fly trying dumb lmao url,No Hate
317,talk shit law,Hate
318,oh shit uhhh ao f,No Hate
319,fuck,Hate
320,hit fucking elo reason posting thee booter exposer shows cant believe everyone commun,No Hate
321,shut fuck upppp kliff bigger gayer try shit,Hate
322,shut fuck upppp kliff bigger gayer try shit,No Hate
323,fuck happen,No Hate
324,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay th,No Hate
325,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay th,No Hate
326,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay str,No Hate
327,jail kind prosecution church getting away pedo crimes hell holding tentacle wth,No Hate
328,fake ass emoji,Hate
329,joe singing old liberal bullshit song misrepresenting facts usu,Hate
330,bro randomly tried dns shit worked first time wtf,No Hate
331,ignorant fool become ag forgot ignorant obama current occupier white house learn ignorant idiot president united states think president leave country go,Hate
332,personal responsibility drunk boys boys drunk slut,No Hate
333,damn right think different part problem country thank god president puts instead putting illigal aliens ahead american,No Hate
334,bitch life flashing ey,No Hate
335,oh fuck forgot poopy diaper pants know know,No Hate
336,homer losing boner petty resemblance even shoving face okay,No Hate
337,bitch shut cyberpunk announced way back getting revealed get facts straight,Hate
338,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
339,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
340,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
341,smack shit outta,No Hate
342,heard ur cock big lon,Hate
343,bipolar keep saying different shit people commenting u said,Hate
344,probably say fuck,No Hate
345,ruin shit lol,No Hate
346,told matter much try life keeps biting ass,No Hate
347,ugh meant wigs shit,Hate
348,fat ass liar strik,Hate
349,actually ancestors long anyone got even french ass native americans first get facts straight wanna throw punches make sure know throwing fi,Hate
350,eric holder arms dealer jail ass slip,Hate
351,bale shit,Hate
352,fucking bf nigga,Hate
353,fucking bf nigga,Hate
354,im broke ass bitxh lol eveb better runs sleep like lying runs like feet going usain bolt xd get kicked lot,No Hate
355,usual clue kids must make shit takes crap since consist,No Hate
356,asshole libtard,No Hate
357,nope going miss sorry ass,Hate
358,yea crazy ass story like go wrong apartment numbers doors notice soon walk shit,No Hate
359,yea crazy ass story like go wrong apartment numbers doors notice soon walk shit,No Hate
360,robyn gonna make vegan scones ran fucking time blame biochem lab,No Hate
361,abso fucking lutely shit alreadi,No Hate
362,awh shit,No Hate
363,prove claim exposed lying piece shit meanwhile url,Hate
364,disrespect sharpie like bro definitely brand shit back dollar tre,Hate
365,never heard thankful shit canada police history conserv,Hate
366,master none fucking good,No Hate
367,little ass boy,Hate
368,factory coming back u n movie sum worth n cause sling shit shows intellig,No Hate
369,nigga hit em wit well lowki,No Hate
370,gop voters better wake hell poll finds voters worried midterms bad url via,No Hate
371,lol okay cuz shit gotta discreet,No Hate
372,mouth goes one side smirky shit lik,Hate
373,bad ass bitch,No Hate
374,bad ass bitch,No Hate
375,die bitch,Hate
376,holy shit awesom,No Hate
377,brennan sure hel,No Hate
378,since lebron eat ass guess url,No Hate
379,lmao man people talking much shit yesterday comment marvel stan twitter moe overused thanos jokes url,No Hate
380,go hel,Hate
381,lucky bitch,No Hate
382,maybe things day little sensible gun control fucking countri,Hate
383,doin part check pussies hood still say n word cause little educated got ways describe brother friends feel way though many peopl,Hate
384,coworker sick ass one work,Hate
385,gonna need whole ass rant thread done utara loghat really feel haha,No Hate
386,moment thought deaths sounded fucked sick first,Hate
387,hostile environment poorest vulnerable society keeps rolling much eh voted shit hang head shame pmnow url,Hate
388,oh shit,No Hate
389,trolling fuck cause quick call mfs coons minor disagr,No Hate
390,hate much fucked whole franchis,Hate
391,rae sis say offense like tweets calling sad bitch also im truly shocked ur l train year,No Hate
392,damn headgear lit sucks im pc ubi plz consol,No Hate
393,hey samsung website declined times credit afford phone without ass second one maybe next time even though hate iphone buy iphone screw,Hate
394,career media works people admire people think piece shit make far,Hate
395,damn mind feinstinkle band leaked took lie detector test hired lawyer last month accusing judge crime years old proof ruining mans life accus,Hate
396,guess chicago kids go theu shit every day strictest gun control around,No Hate
397,still fucked respecting lgbtq,Hate
398,holy shit brainwashed ya,No Hate
399,yeah go back faerie world handle shit,No Hate
400,omg fucking hate dal,Hate
401,aaaaaaaaa exciting majority friends second year point blow receive moving whole ass country hit yet film studies hate appar,No Hate
402,oh shit mafia finally found,No Hate
403,listened give shit fans think counting fox money,No Hate
404,good soundtrack dmed fire fuck still listen often bad tracks better joking shit,No Hate
405,good soundtrack dmed fire fuck still listen often bad tracks better joking shit,No Hate
406,oh shit trigger bigot,No Hate
407,lock yo sorry ass,No Hate
408,look chill fuck bearded dragon url,No Hate
409,whole meta joke would original tweet fuckin calcul,No Hate
410,oh yeah terry porters second pi call osu alumn naw im coach scumbag history know anything history aaron hernandez would know kind scumbag osu shith,Hate
411,little appreciation post bestie bad bitch thankful url,No Hate
412,bull shit know,Hate
413,love penis want keep would rather smoke joint,No Hate
414,offer since june shitty browns stop thinking still good living past,Hate
415,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
416,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
417,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
418,naaa spent hours laughing huge nuts stupidity fink kind entity bunch scared antifa pussies wiv muscle see anyone try bully even pathet,Hate
419,saying ben ben hell going something tweet crap djt,No Hate
420,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
421,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
422,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
423,fuck dope fox watcher independent voter never vote left party danger,Hate
424,old pic trump monitoring anything related hurricane pretty sure shitting pants right,No Hate
425,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
426,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
427,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
428,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask,Hate
429,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask f,Hate
430,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask f,Hate
431,lies got key admit date maybe nsa married true story bs ok respct police officer story excuse full shit please post photo let se,Hate
432,get saying type dumb shit,Hate
433,already ass many fucking shots tonight,Hate
434,already ass many fucking shots tonight,No Hate
435,seriously words fucked every time think found word something even despicable amp disgusting best hope chokes vomit stupid lies tol,Hate
436,fucking sucks ref,No Hate
437,meet many many fans amazing remembered bitch,Hate
438,bullshit stats say london murder capital europe gun control working right germany serious crime problems maybe u take care business home u start tweeting th,Hate
439,someone asking davido supposed camp oga madam park well davido business non business na u send go school haterz chop shit n di,Hate
440,everyone saying fuck russ dont know damn thing watched interview,No Hate
441,everyone saying fuck russ dont know damn thing watched interview,No Hate
442,got knocked first round one shitty decis,No Hate
443,powerful woman earth oh fucking god url,No Hate
444,birch da fuck,No Hate
445,know good goddamn well tried explain gun control military base proof gun grabbing laws shit look fort hood,No Hate
446,know good goddamn well tried explain gun control military base proof gun grabbing laws shit look fort hood,No Hate
447,catch letting saggy whitey bitch talkin like bitch eat dirt,Hate
448,catch letting saggy whitey bitch talkin like bitch eat dirt,Hate
449,installing shitty app put second amendment campus carry gun control except violent felons url,Hate
450,man woulda started hitting wall shit nothing dry wall wood beams getting door,No Hate
451,fuck yes ride babi,No Hate
452,fuck trying set looks like somehow deserved shot,No Hate
453,srsly sucks ur living life full bullshit rules gotta suck surv,No Hate
454,got shit done today,No Hate
455,hope well thats fucked like seriously fuck wrong ppl gun control issue though right thank god live canada feel brutal attacks u seriously go away,No Hate
456,hope well thats fucked like seriously fuck wrong ppl gun control issue though right thank god live canada feel brutal attacks u seriously go away,No Hate
457,good shit bad though,No Hate
458,sad terrifying know dropped reports seen says mean shit storm look pictures thing realize fucking beast,No Hate
459,sad terrifying know dropped reports seen says mean shit storm look pictures thing realize fucking beast,No Hate
460,lie shit cr,Hate
461,fucking w u today lol,No Hate
462,u think bad stuff happens men cars shit happens everyone mindset deal possible issues like spend whole life worrying something likely happen,No Hate
463,dear paul mcfartney us beatles lost us president mad captain burn hell jon url,Hate
464,nah foodie ass gladly say works absolutely one fucking pal,No Hate
465,nah foodie ass gladly say works absolutely one fucking pal,No Hate
466,fucked omg old hs open campus every period skip dollar fine lmaooo,No Hate
467,miss bitch,No Hate
468,telesmokacatin damn looked better head,No Hate
469,fuck,No Hate
470,surprising n c nnor nigga payrol,No Hate
471,hah fucking chats onya boy,No Hate
472,shitting lik,No Hate
473,twitter clear leftist agenda seen comments conservatives asking leftist shit feed ask want stop trying push us,Hate
474,asshole though,No Hate
475,bitches brain,Hate
476,glad think know could kick ass always back knows best awful live like child experience things shitty people lik,No Hate
477,glad think know could kick ass always back knows best awful live like child experience things shitty people lik,Hate
478,good morning followed back let give crazy liberals hel,Hate
479,somewhat conflicted talking shit defending many intelligent bright minds held hostage msm propaganda peddling uhave read,No Hate
480,shitti,Hate
481,fuck,No Hate
482,empty headed bushie whor,Hate
483,maybe fine people dipshit president talking antifa left fringe far left anti fascist movement lump left antifa lump right neo nazi,Hate
484,click see hell talking still know war conservatives like war christma,No Hate
485,damn cathol,Hate
486,close ties w nra amp funding imp people lives amp sensible gun control attempting defend planned parenthood whilst time rolling back intelligent sex education amp replacing abstinence teachings fucking stupid,Hate
487,liberals anderson cooper gay default means never wrong also liberals trump jr pos dad,No Hate
488,paranoid always spam omg spam everyone credit telltale every posts fucking funny chill one car,No Hate
489,apiece shit would kill animal moth,Hate
490,gotta love uninformed point venezuela though inevitable result socialism socialism venezuela gun control chicago like watching round shitty jeopardy one knows damn th,Hate
491,gotta love uninformed point venezuela though inevitable result socialism socialism venezuela gun control chicago like watching round shitty jeopardy one knows damn th,Hate
492,fuck drug test,No Hate
