,sentence,intent
55,water actually heavier liquefied dino dong,No Hate
56,carry n r brushes sag p,No Hate
57,agre,No Hate
58,agreed rep wait though cheap money massive bailouts crony banksters manipulated employment figures etc etc,No Hate
59,still water ends top oil bottom,Hate
60,n mess texa,No Hate
61,would personally like welcome white brethren want join fight texa,No Hate
62,like wigg,Hate
63,feel pretty alone alot time min,No Hate
64,electric jew sports happened appease masses white peopl,No Hate
65,head much sinc,No Hate
66,would n marry asian even cirurgi,No Hate
67,watch north america like black sport players slang,No Hate
68,yeah gonna end like last hoe bag got involved chimp,No Hate
69,right anti white bigot wants live around blacks wants force people live around black,No Hate
70,explain china totally government owned controlled communistic nation yet wastes world resources junk building empty c,Hate
71,git happy ass,Hate
72,wear whatever style unless wigged would highly unattracit,No Hate
73,sadder whites try go black,No Hate
74,hitler policy blue eyes would lived brown hair acceptable blue ey,No Hate
75,especially orientals looking whit,No Hate
76,sounds like things pretty cool famili,No Hate
77,nothing ever seem,No Hate
78,white kids want black,No Hate
79,like see iran wipe israel map,No Hate
80,war iran february last december learned brother sisters would trip india dubai feb feb,No Hate
81,since family fundimental founding forming texas actively trying find work place l,No Hate
82,news proved alleg,No Hate
83,lack government role culture resulted western culture today,No Hate
84,also wondering believe subrace superior anoth,No Hate
86,looked internet could onyl find hatewatch anti sit,No Hate
87,solution simpl,No Hate
88,got good friends kid let tell ya good friends hard com,No Hate
89,break,No Hate
90,guys still attend school old r ya want put perspective since one dresses like skin school think,No Hate
91,get boot camp marines im going get eagle globe anchor tattoo right arm big,No Hate
92,earth hollow little elfs gardens compost heaps producing oil,No Hate
93,want see styles clothes wear etc,No Hate
94,mum dad born uk parents came ireland makes irish,No Hate
95,suburbs chicago everyone always says alot skinheads trouble find,No Hate
96,always turns ugly eventually thread lock,No Hate
97,seen happen many times explod,No Hate
98,making really expensive purpose making pan,No Hate
99,exactly fall back common sense common sense says nobody hanging around feet take tan,No Hate
100,please keep mind,No Hate
101,klan greatest thing happen country take country back,No Hate
102,hail isd,No Hate
103,mother dark brown hair striking green ey,No Hate
104,wish eye color,Hate
105,film full outright li,No Hate
106,annihilate told welcome post general rants tim,No Hate
108,enough oil hundred years actu,Hate
109,teaches direction life plus christian youth intermixes race religion,No Hate
110,big plan,Hate
111,gym teacher told lebanese kid screwing around class go back poor ass country wants screw around,Hate
112,hope pups good clobbering educ,Hate
113,regards kyl,Hate
114,really faith choice matters dedication race made lost,Hate
115,make problem parents get attention welfare child rac,No Hate
116,link documents bs moore put film,No Hate
117,got big plans countri,Hate
118,telling would gladly give united states back native americans long white people got europe back,No Hate
119,heard youth corps really amazing one large groups accept younger peopl,No Hate
120,seriously ca n figure group belong suggestions mighty sisto,Hate
121,scientist beat living life scientist day,No Hate
122,father sister blonde hair light blue ey,No Hate
123,think even teachers getting fed immagr,No Hate
124,light brown hair light brown eyes like fath,No Hate
125,one hole ear wear pair silver eagle dangle earrings dont like exotic per,No Hate
126,went back found link video tried watch wordy convinc,Hate
127,also read march titans three subraces pf whites nordic alpine mediterranian found could poster boy alpine group round face brown hair green eyes stocky build,No Hate
128,must fall alpine grouping wel,No Hate
129,curious know country everyone ancestors came sf,No Hate
130,truth applies subjects discuss board,Hate
131,dont even include fac,No Hate
132,ika klansmen,No Hate
133,thats pretty similar,Hate
134,german british descent german british approx,No Hate
135,every word truth,No Hate
137,put good white youth,No Hate
138,look internet se,No Hate
139,seen whole thing remember part started talk black males showed bunch news clips saying suspect black male etc acting like suppose feel sorry innocent like said think one black person interview,Hate
140,might get barbed wire around wrist,No Hate
141,saw white black couple day nearly went ballistic got enrag,No Hate
142,exact,No Hate
143,blood honour world wide white organis,No Hate
144,picture thread took car,No Hate
145,hey heard alot groups cept hammerskin,No Hate
146,visit used book stores riversid,No Hate
147,white guy murders asian student days wed,No Hate
148,n sit around argue act like pathetic try sham,No Hate
149,oh definitely push ups sit ups time n school weight room use go,No Hate
150,said statistics show year espanol main spoken laungag,No Hate
151,also national alliance local area contacts riverside ca,No Hate
152,perhaps search damnable disk come visit,Hate
153,n come hard alienate keep light hearted attitude let know find actions disgust,No Hate
154,try yelling nigs ya get suspended jumped hopefully new wn friends ya die trying lol rohawa battle cri,No Hate
155,response ucla blowhard oh shut hell bumbling incompetent hack,No Hate
156,children like animals respond appropriate feed back,No Hate
157,negro got found guilty insanity defens,No Hate
158,youre lovely bunch people thank concern moment insisting driven,No Hate
159,safe,No Hate
160,played years way pass time got bored waiting v released stopped play,No Hate
161,would bet campus cops ordered withhold higher authority like department homeland secur,No Hate
162,real religion worship false god everything else every day,No Hate
163,best mate problem makes sad like scared cant anything go gets sick think dont force may turn away however hard sit listen say dont car,Hate
164,whole administration ucla prosecuted accomplices every crime committed quota students unqualified foreign students wrongly let,No Hate
165,garners major news media attention week,No Hate
166,always wanted cop become one bad anti skinhead cops piss think cop one best wn jobs fact cleaning street,No Hate
167,bet wouldnt done crap black person black power black fists panthers use written back pack,No Hate
168,liberals care divers,No Hate
169,fag jew teacher told pricipal white power markings binder backpack suspended week,No Hate
170,seek shall find,No Hate
171,computer science degree really disliked left,No Hate
172,kr,No Hate
173,example uses correct english say hey starting sound like white man,Hate
174,good school alot whites hispanics blacks many asian,No Hate
175,check stack,No Hate
176,hoping go university next year sponsored military hoping get bachelor arts majoring geography history minors politics manag,No Hate
177,plan putting lot flyers black history month anyone know anti black history month fly,No Hate
178,seriously guy primitive even black,No Hate
179,teach proud white heritage let know acting like wigger demoralis,No Hate
180,lived tulsa awhile back right airport,No Hate
181,friggen hipicrit,Hate
182,ease convenience insight news current annual list found storyid insight top collegesposted sept stephen goode published tuesday september insight top alphabetical order based commitment undergraduate teaching use traditional curriculum,Hate
183,searched unable find photo,Hate
184,think klan best social club whole militant thing tends turn people makes look crazi,Hate
185,bet negro planning insanity defense may get,Hate
186,wonder wait trial photo,Hate
187,washington state university wsu,Hate
188,n long long enough hate plac,Hate
189,thank people responded sent pm,No Hate
190,continues worshipping negroes homos odds good scenario repeat,No Hate
191,put somewhere typical african ap,No Hate
192,stand asians would find school breath fresh air,No Hate
193,never really got much trouble dean school also head football coach play football cool connect,No Hate
194,girl almost made another human sacrifice false god,Hate
195,black slit perfectly healthy white womans throat standing behind store reason white woman,Hate
196,fools could n keep dangerous mental case third world,No Hate
197,congratul,Hate
198,old carrot stick routin,No Hate
199,geesh let gorilla ucla sake diversity long got body wax,Hate
200,wiggers nature much influenced peer pressure wiggers make fun attire mannerisms say things like n act like white man change really sad ashamed whit,Hate
201,black guy stabs student slices throat front plus students faculty garners barely mention msm,No Hate
202,say sentences swear word word except music go jail ur whole lif,No Hate
203,reinforce disapproval wiggerism approval whenever act whit,No Hate
204,applied technique one many occasions seen considerable success,No Hate
205,concur totally sick county l,No Hate
206,happy hear ms rosen survive hopefully put behind point,No Hate
207,best way ever found dealing wiggers treat contempt,No Hate
208,www wlu edu wheaton college wheaton il,No Hate
209,many films end klan victori,No Hate
210,friends awhile beliefs knew nothing wn movement wn one day searching web came across white nationalist site link stormfront told friends try spread word,No Hate
211,good site sign newslett,No Hate
212,hey youngsters check web site dedicated skinhead rock rol,No Hate
213,im lol,No Hate
214,break never talk,No Hate
215,everyone help national alliance get involv,No Hate
216,gotta give chance least move cleveland well talk lol always looking wp girl,No Hate
217,www thomasaquinas edu university dallas irving texas washington lee university lexington va,No Hate
218,enjoy multiculturalism shoved throat fighting israel black asian new best friend,No Hate
219,go check band review section oh bad ass websit,No Hate
220,ancestors didnt walk around bald,No Hate
221,many whites would become part movement know noth,No Hate
222,recent statewide flyering campaign blanketed colorado white racialist leaflets garnered headlines every colorado newspaper many tv stations one exampl,No Hate
223,high q still friends mean ai n doctor anything still got decent q like half year friends except foreign,No Hate
224,yeah saw hardcore wigger used play vice city paid attention saw cool found,No Hate
225,www smcm edu thomas aquinas college santa paula calif,No Hate
226,thats stupid say probably heard maybe artists tv stuff tons white non wigerish rappers dont scream someth,No Hate
227,www mckenna edu college ozarks point lookout mo,No Hate
228,www sjca edu st john college santa fe n,No Hate
229,check rebelsong downloads hear newest coming white power bands cradlesong patriots cal,No Hate
230,nope prisoner means belive wp try dress much like one cannot due parents job,No Hate
231,nothing jerk piece trash,No Hate
232,joining unit famous great spirit effectiveness awakening kinsmen,No Hate
233,congratulations decision whitetig,No Hate
234,keep spread word,Hate
235,computer got backdoor tojan virus,No Hate
236,first shaved head hate combing hair,No Hate
237,mine first,No Hate
238,skins reason shave heads see www skinheadz com normal white nationalist reason head shav,No Hate
239,agreed reason make genocide races long another country nothing affair,Hate
240,www hsc edu hillsdale college hillsdale mich,Hate
241,game far violent sick game ever play,No Hate
242,let race continu,No Hate
243,www sjcsf edu st mary college maryland st mary md,Hate
244,supper happy ur school im alon,No Hate
245,www gcc edu hampden sydney college hampden sydney va,No Hate
246,caught stories gener,No Hate
247,children allowed even watch never mind play,No Hate
248,winning activ,No Hate
249,queens way meet member national alliance present speech,No Hate
250,sent pic wound use able put cuz use dont many also lots links give us,No Hate
251,www stormfront org forum www stormfront org forum www stormfront org forum showthread php www stormfront org forum make great vvalentines day movement good luck passing flyr,No Hate
252,calvin college grand rapids mich,No Hate
253,link,No Hate
255,help pass na love race flyers big help,No Hate
256,n mind silent film birth nation must se,No Hate
257,www hillsdale edu st john college annapolis md,No Hate
258,probably familiar campaign others view sampling press tv coverage www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show www stormfront org forum show yes different news stories different cities one activist campaign colorado na memb,No Hate
259,beautiful blonde hair blue eyed niece annabella turned yesterday duty educate teach white values heritage future white race someday bring beautiful white children wolrd,No Hate
260,www christendom edu claremont mckenna college claremont calif,No Hate
261,proof read send along suggest,No Hate
262,www cofo edu franciscan university steubenville steubenville ohio www franuniv edu grove city college grove city pa,No Hate
263,www calvin edu christendom college front royal va,No Hate
264,readers encouraged go websites information costs financial aid offered excellent school,No Hate
265,skinhead definition must head shaved n skinhead,Hate
266,reason dropped school either drop got kicked always fought packi gang school never going back auto class handed n igger monkey wrench told name suited aswell non whites hated wore nazi punk white pride patch coat backpack got fight black chick next day butchy sister caught hall way said school gonna fight told u wanna fight gonna fight right right school u gather rest u monkies uneven fight huffed stormed away neevr get fight last straw first day school forgein substitute teacher talkin guy case turning around getting work done ask times finially stood said look white ur black telling u whut ohhh man guidance conslour n like principal n school happened month ago people went school n igger try rob knife point forest gf sat back watched friend came jumped personally went chick ran caught smashed head tree thats stories got dont tim,Hate
268,www wheaton edu another execellent schools baylor university college arts sciences waco texas birmingham southern college birmingham ala bridgewater college bridgewater va columbia university new york n college william mary williamsburg va davidson college davidson n c furman university greenville c millsaps college jackson miss pepperdine university malibu calif rhodes college memphis tenn st olaf college northfield minn samford university birmingham ala shimer college waukegan ill thomas college liberal arts merrimack n h wake forest university winston salem n c,No Hate
269,unfortunately could always try start business though use something would cater primarily whit,No Hate
270,love big dog,No Hate
271,gotta stand cant sit back take hand cant go looking either comes fight dont back,No Hate
272,black kids school f n spics senior year really cant stand anymore know lots others board feel need support,No Hate
273,tri,No Hate
274,ever ask screen name reminiscent sound butthole makes many bean,No Hate
275,well little history post listen dont mind group city called boys supposedly racist bunch kids never thought newspaper manipulation sotries labled racist well views arnt well known school know ive labled boy group blacks approached school im little guy im decent build really fear anyone anything point life well anyway came started asking racist crap denied mostly safety time well talked people asked thoguht friends turns werent went right around told views came lunch today pushed around little stood got faces finally hall monitor came broke im wondering whats going happen next days since im wp kid school standing alone issue decided post bit information wall read keep safe keep smart,No Hate
276,guess case grow big fro big d,Hate
277,live around western new york cannot stand puerto ricans school,No Hate
278,jim,No Hate
279,sometimes things happen always report credit card company get reimburs,No Hate
280,let us know joined give another well deserved ch,No Hate
281,band black flag also pro white famous song called white minor,No Hate
282,check,No Hate
283,exactly especially since photos white white instances black black,No Hate
284,follow saying new speak speak watch teacher fumble bal,No Hate
285,dont know whether welcome laugh,No Hate
286,happend day class black one back,No Hate
287,want wish students everywhere else best luck mid term,No Hate
288,white power mus,No Hate
290,crap blacks tougher stornonger etc crap aint matter street new ball gam,No Hate
291,besides metallica new album n bought mainstream album like year,No Hate
293,riverside gf lives san diego couple times week welcome stormfront sist,No Hate
294,love double standard,No Hate
295,ca n hurt,No Hate
297,schools horrible teach telling kids liberal respect people races take prid,Hate
298,sleep dirty floors dirty houses dirty kids eating dirty plates driving dirty cars sitting dirty tables dirty manners dirty way talking dirty way living wear dirty clothes dirty smiles around dirty nasty peopl,No Hate
299,enjoy classroom,Hate
300,white better next time harass someone else form group buddies go proncipal offic,Hate
301,tell school called white boy intentionally piss threw one back,Hate
302,thank much,No Hate
303,hate ever since got beaten real hero since nazi,No Hate
304,well good luck bookmarked check back every often,No Hate
305,black tell nothing scares black white man big dog,No Hate
306,quite bit white kids like keep underwraps cause troubl,No Hate
307,im wilbraham looking organize group area anyone interested send pm instant message theman lets get organ,No Hate
308,thanks advice keep mind,No Hate
309,starting mine tomorrow little nerv,No Hate
310,white kids know believe superior freak whenever black guy fighting whit,No Hate
311,ways say movie full metal jacket first lines movie great haha,No Hate
312,unfortunately rich kids always get way say ignore kid summer get back always work,No Hate
313,joining group hard working smart activists whitetig,No Hate
314,tell school suspended one guilty hate crim,Hate
316,shows superior,No Hate
317,never saw anybody get fight even arguement colleg,No Hate
318,start main character change heart,Hate
319,ca n white clothing company negro black companies like fubu etc sigh,No Hate
320,never march alon,No Hate
321,saw ahx first time day would say pro aryan,No Hate
322,god forbid anyone promote straight racially loyal hetrosexuality diablo,No Hate
323,college different part high schoolers attitude problems n go,Hate
324,get ridiculed injury radio negro talk show host sings little songs sharks eat white people sur,No Hate
325,ordered cash problem,No Hate
326,sorry forgot put im western mass teacher white strongly racism thats say something support white rac,No Hate
327,study hard pay,No Hate
328,long heart true caus,No Hate
329,like whole idea blog,No Hate
330,see stuff nowadays makes wa n punch white people fal,No Hate
331,live california school race riots hear blacks vs mexicans cinco de mayo lol,No Hate
332,someone ca n get point across without using hundred curse words n even deserve answ,No Hate
333,get aids soon di,No Hate
334,please recommend black metal death metal bands like fear factory slipknot etc machine head slayers albums like god hates us diabulus musica,No Hate
335,welcome sf,No Hate
336,friend brought small little finger nail cleaning knife school teacher found got expel,No Hate
337,parents lik,No Hate
338,anything along lines uh punk altern,No Hate
339,took year aor f several years ago,No Hate
340,david ss,No Hate
341,blast fauster peace laugh,No Hate
342,welcome back hope make f habit,No Hate
343,think people marry rac,No Hate
344,sometimes watch shows wwii history channel never watch,No Hate
345,dont screw life stupid little fight using weapon,No Hate
346,thinks white people marry white people white peopl,No Hate
347,take car,No Hate
348,older person know act racist around friend mom,No Hate
349,one mentioned hate society great band dont scream m,No Hate
350,think find org one best web,No Hate
351,dont watch tv watch sport rugby soccer cvricket occasionally movie probally watct hours week though,No Hate
352,prefer classical music marching band works particularly kind score written marching band pop song transcribed played instru,No Hate
353,check,No Hate
354,yes game pretty good truly negroid killing action aka mini rahowa would like see expansion set next mission harlem laugh would perfect,No Hate
355,music good,No Hate
356,lol dont know saw somewhere franklin forbidden name thanx try search googl,No Hate
357,well see gotten first bas,No Hate
358,man theres alot stuff news last week weve front page news paper times news every night,No Hate
359,asian group black group mexican group sadly request white group denied libral hipocracy discrimination skinhead,Hate
360,filled hate jewish media tells lem,No Hate
361,good window floor fan job white noise much better tv,No Hate
362,dont see u couldnt go alone mean public place unless hes picking something first post,No Hate
363,nice pictur,No Hate
364,school classmates thought would hilarious took hitlers body put head top give teach,No Hate
365,constant mov,Hate
366,jim,No Hate
367,rarely watch tv likely movie something sort,No Hate
368,omg posting face board dangerous holland post face facist board becouse allot antifa watch,No Hate
369,youth section friend sex multiple ppl,No Hate
370,love hang anyone since white nationalists one wants please pm really need people hang,No Hate
371,maybe watch hour times year travelling stay hotel,No Hate
372,seems like along post belong general rants forum,Hate
373,funny even taught dogs hate black,Hate
374,comes classical music like pow,No Hate
375,yeah crap school kindergarten,No Hate
376,best songs rule world grateful man rahowa,No Hate
377,first probably wont anything second dont start anyth,No Hate
378,wulfi,No Hate
379,whenever went anywhere little kids would come ask hitl,No Hate
380,course brother would welcome white commun,No Hate
381,start gangs kill rob homes liberals wanted divers,No Hate
382,angry aryans probably fav band,No Hate
383,good white pride music n annoying screaming bad met,No Hate
384,find funny blacks find women disgusting find even disgusting go white women usually successful good see white girl tell on,No Hate
385,n watch tv hom,No Hate
386,need something els,No Hate
387,come california see crap grow around need maybe even days top,No Hate
388,voted likely take world first kil,No Hate
389,never ever gotten first bas,No Hate
390,blue eyed devils really good wel,No Hate
391,smart wouldnt create white pride school group take someon,No Hate
392,would jumped chance get gun birthday,Hate
393,moral duty upstanding citizen white person baby removed wretched hands properly cared hell degenerate friend put fear aside whats right baby sak,No Hate
394,realized stormfront idea white looks like flaw,No Hate
395,legal talk sexuality front stud,Hate
396,greek albanians considered whit,No Hate
397,swissgirl teacher openly gay,No Hate
398,take good thing se,No Hate
399,old symbol nazi chose around long time represented strong aryan root,No Hate
400,seems old proverb dogs fleas comes mind,No Hate
401,let say like hate school hate learning hate read,No Hate
402,im glad see board back action whew,No Hate
403,find everything life whites tend raspecfull everyon,No Hate
405,allud,No Hate
406,use money buy food get place stay n use buy drugs something like would n say done bad th,No Hate
407,guess got lucky n public high school never learn holohoax,No Hate
408,athens greece population people non whites blacks asians maybe see black person couple months televis,No Hate
409,face shaved moustache trim,No Hate
410,well think reached point discussion going round round end right,Hate
411,hey moved saskatoon hoping hook wn c,Hate
412,wore school told either never wear expeled chose never ahem show,No Hate
413,god,No Hate
414,tell city lies europ,No Hate
415,gripfasts shoes boots boots worn break shoes dressi,No Hate
416,would never date black guy,No Hate
417,course dogs noble creatur,No Hate
418,cent,No Hate
419,hair freshly cut,No Hate
420,everytime hear word yugo think scene dragnet sergeant joe friday says department furnished us yugo cutting edge serbo croatian technolog,No Hate
421,anything racial happens pinpoint,No Hate
423,also east european countries chezch republic poland slovakia finland etc whit,No Hate
424,lol gj brother points uber humans sub human ape creatures truly one bad mofo whitey crakker man,No Hate
425,show email adress publicly forum,No Hate
426,pm,No Hate
427,kid,No Hate
428,need help could provide send pm,No Hate
429,post public message board inviting disast,No Hate
430,gone public school life force fed crap since th grad,No Hate
431,asian security guard,Hate
432,actually kind funny black guy sees staring try star,No Hate
433,originally good luck symbol,No Hate
435,happened friends could comprehend n like miss china look,No Hate
436,got pair burgundy hole grindres low sole kick far concernd thats ne,No Hate
437,see many bm wf around city even funni,No Hate
440,white female proud race dating black would disgust,No Hate
441,hi michael,No Hate
442,sorry hear losing job well reading went walking cuz pumped kick ass heh,No Hate
443,requested link usa today coverage mystery stinky suitcas,No Hate
444,go work got dirty blue jeans black socks old shoes tshirt ussually heavy metal type today slayer trusty winchester cap couple thors hammer pins gotta beard chicks dig x long hair till cut wedding didnt wanna look much like unibomber get dressed put clean pants plain tshirt,No Hate
445,exclusively homosexual high school n even go school sex first plac,No Hate
446,happy birthday michigan us everyone page heh heh,No Hate
447,good education allot everyth,No Hate
448,lmwao letting fish pocket,Hate
449,like husband decent pair jeans well fitting shirt pair boot,No Hate
450,thanks continue come back anyone know good bands listen got several moment really like would good casp,No Hate
451,yes edited personal info give trust,No Hate
452,crap like common day,No Hate
453,saw someone playing enemy territory server using handle wondering someone post,No Hate
454,skin although head shaved tim,No Hate
455,careful say anti white supremacism person might say ca n get petty differences like skin color culture get along,No Hate
456,love stay home raise children,No Hate
457,project hitler school read mein kampf got lot teachers black kids im gonna read whut im gonna read wpww,No Hate
458,probably stole bunch stuff,No Hate
459,mean blacks whine nascar racist,Hate
460,critisizing right grow,No Hate
461,im gonna springs area soon e mail want meet somehwere like indy nation lotsa skin,No Hate
462,joined marin,No Hate
463,see anyone know knows stormfront phone numb,No Hate
464,exposure sun like heard someone say,No Hate
465,bbut creeping slowly seeing day,No Hate
466,going make decis,No Hate
467,hey hey army dirty dirty army hop tanks follow marine corp infantry hey hey navy nasty nasty navy get ships follow marine corp infantry hey hey air force lazy lazy chair force get chairs follow marine corp infantry back marine corp came alive first came color blue show world true came color red show world blood shed came color gold show world bold,Hate
468,later divorced lady street help,No Hate
469,way make money friends child play stay hom,No Hate
470,times ive told make kids said one make someone feel ready kids belive quality quantity would mayb,Hate
472,maybe n know,No Hate
473,exactly man right,Hate
474,must say creepi,No Hate
475,nothing staying home also like start home day car,No Hate
476,nobody knows right except,No Hate
477,leaving basic pretty soon,No Hate
479,first aint weirdo joking second inbox may empty check sent message list,No Hate
480,ever want talk white activist n skin pm aol neobiocp regards kyl,No Hate
481,expressing homosexuality outside home however must stop,Hate
482,scarey anymor,Hate
483,trying make us look bad bad apples tree doesnt mean whole tree bad,No Hate
484,get white racially aware join army respect white brothers sist,No Hate
485,better shaved head friend mine beaten really bad year ago could pulled hair,No Hate
486,saw short video couple seconds fox mention rac,No Hate
487,dont really blacks schools round,No Hate
488,yet thugs actually robbed store injured killed friend would classified hate crime would,No Hate
489,well like said keep,No Hate
490,things u put yer teeth kidding seen guys things suppose hold pants theyre red white theyre belts welcome skinhead charad,No Hate
491,yes could get whole time machine thing figured got back would see smiling white fac,No Hate
492,agree defence legitimate taking arms killing whites last thing need succeed caus,No Hate
493,mean blue eyes slight ring brown around pupil,No Hate
494,sad low people go know,No Hate
495,lol reminds story guy overdosed killed digital camera chatroom everyone ch,No Hate
496,summer lot time hands work break,No Hate
497,come everybody wants change names sudden,No Hate
498,might print b w copies leave places get first need artist,No Hate
499,mix lik,No Hate
500,print get comic stores get lot coverage population oppinion,No Hate
501,want privacy hom,Hate
502,homosexuals stay closet,No Hate
503,hell tend give tinker darn friends ocasionally smoke we,No Hate
504,www stormfront org forum show threadid,No Hate
505,bad n anything like anymore id sure join,No Hate
506,gonna get beat guys thats messed even sorenyos kids school hit girls unless whor,No Hate
507,welcome promote white unity british occupation n ireland another issue cannot succeed promote hate whites fundamental tenet white nationalism something think,No Hate
508,mods everybody else please see thread,No Hate
509,negroids different hair type whites black hair referring hair type manage take care differ,No Hate
510,like fact hate crime couldve kicked anyone way,No Hate
511,thread example white people forming alliance anytime soon still whites fighting whit,No Hate
512,time scarey alon,No Hate
513,maybe didnt friend took action thats good thing take act,No Hate
514,lol,No Hate
515,aim n metalgod,No Hate
516,better five bucks hour,No Hate
518,really given thought changing eye hair color really matter moi,No Hate
519,pm chapter hitler youth handbook,No Hate
520,black people biggest pawns ever everyone uses crime always fall guy italian mob uses dirty work mexicans use japanese use chinese know whos nam,No Hate
521,yes true white cop killed terrible th,No Hate
522,god parents think,No Hate
523,brown eyes would trade color,No Hate
524,keeps simpl,No Hate
525,man always hard time ever try make website much stuff get confused well anyway id really like see website whenever get finished heil hitl,No Hate
526,whites asians evoluated blacks still behind,No Hate
527,drive forklift docking bay,No Hate
528,always screamed grow,No Hate
529,respect world law enforc,No Hate
530,parents watching homework,No Hate
531,opened new thread think important talk problems someone else connection non whit,No Hate
532,actually cook anymor,No Hate
533,nose broken times haha,No Hate
534,wn nj ive looking others nj awhile nj u,Hate
535,got back new job,No Hate
536,ya little sister doesnt like little black girls try talk pulls disgusted face says black laugh say maggie dont talk,No Hate
537,eta shaved head time p,No Hate
538,second whites smarter asians ever look bodybuilding contests see whites maybe one black,No Hate
539,remember killed white cop one bombings according abc,No Hate
540,im central nj,No Hate
541,kid couple itmes fight,No Hate
542,ill shave head finally get gcse grades c,No Hate
543,meant blacks oldest living humans earth,No Hate
544,coke addict try find gets coke rat hero party nigs behind bar,No Hate
545,brown eyes brown hair make less white someone blonde hair blue ey,No Hate
546,yea thought saw episode klanmen calling jerry ing jew lol,Hate
547,cant wait wanting something say wiggers never find right word,No Hate
548,probably would n wn without,No Hate
549,honestly say feel dumber reading posts board,No Hate
550,went way purchase food items denmark whenever available believe hygiene handling food products clean whit,No Hate
551,whats thought might put pic looking friends theres many negroes around times feel like int white guy left world message let know stll white broth,No Hate
552,seriously hope able overcome burden gone achieve go,No Hate
553,reason certain schools live white prom black prom,No Hate
554,hit paintball bad painfull stuff diving around air floor slice elbows kne,No Hate
555,stay white stay healthy fight,No Hate
556,learned nearly everything know white nationalism internet,No Hate
557,n find way kick brown cloud already danish gene pool lost,No Hate
558,stupid posts ever read lif,No Hate
559,think cop whit,No Hate
560,always cracked see middle aged skinheads hobbling around pantlegs rolled suspenders hang,No Hate
561,ca n believe spelt asian wrong,No Hate
562,maybe blacks n better body shaped hunt anim,No Hate
563,sorry watching liberal news channel,No Hate
564,better yet find another job quit,No Hate
565,oh get problems time group spics run time talk crap next time try im li,No Hate
566,therefore practice slavery rac,No Hate
567,kamerad,No Hate
568,quit find another job,No Hate
569,feel,No Hate
570,sit around everyday saying white pride dont feel really involved yet whites destroyed today ever white culture destroyed ever dont know everyone else im sick watching sidelines dont want see children exposed society like want change costs today anyone driving distance massachusetts post back,No Hate
571,skin color well whit,No Hate
572,lay crack ecstasi,No Hate
573,damn least sounds plausable stupid sea maybe look ebay u sure none left,No Hate
574,white pride chats yahoo go governments politics click user rooms usually white pride chat,No Hate
575,seeing doctor get medication high blood pressur,No Hate
576,simple want create white guilt,Hate
577,goatee clean short used long beard got sick pretty fast,No Hate
578,hell ill even give pic aim p ladieees p aim trilidon,No Hate
579,actually saw nicest thing day,No Hate
580,hey lot easier high school middle school high school people stop careing much people se,No Hate
581,peter great,No Hate
582,makes easier form,No Hate
583,hopefully years alter life style somewhat hope able bring blood pressure natur,No Hate
584,ya lazy drug attics cant get real job deal drugs jump job job job,No Hate
