,sentence,intent
136,jayee used send bitch,Offensive
137,ugly bitches like wcw duh bitch nobody els,Offensive
138,stnamebravo nigga know hacky sack hoes nah throw look passes lmao,Offensive
139,glad getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em,Offensive
140,ghetto sma idc,Neither
141,would wife hoe cuz care cheating force relationship first plac,Offensive
142,single excuse ho,Offensive
143,white boy power bitch black power bitch,Offensive
144,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chil,Offensive
145,bitch u around world back,Offensive
146,get dick sucked yo pay bad bitch fr gone set,Offensive
147,soooo cute probably hoes lot,Offensive
148,every caoon alway saving hoes lmao lmao damn captain saveaho,Offensive
149,wants get nose bad bois hot sox leg,Neither
150,wish bitch like brother keezy ooooow bet,Offensive
151,dressed cat halloween basic pussi,Offensive
152,pornhub get gaming stream feature dumb bitches gtfo get katie lt,Offensive
153,stop scared choke sex u bitch ass niggas like says guy hits women bed foh,Offensive
154,perez ha well iguess make hoes loyal bro theyll never loyal hoes nig,Offensive
155,takehov oh man molly ho fuck ya se,Offensive
156,man refer every girl bitch,Offensive
157,lmfao cat staed beating shit nigga finally got pussy nigga,Offensive
158,peel peel bring back rewind back move shaq line ooooow tf said trash,Neither
159,stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,Offensive
160,naw old tape new cover upcoming mixtape yeah waiting hoe mayn,Offensive
161,ol diy foot ass bitches funni,Offensive
162,get yellow flags amazing hell yeah niggi,Offensive
163,got time bitches actin iffi,Offensive
164,come stay alive knights nation still early bird speci,Neither
165,hoes loyal smfh amp wonder nobody decent w,Offensive
166,bruh studs keep thinking soft hell ask ya girl many times screamed bitch oh okay stfu bye ho,Offensive
167,dry pussy bitches always blame condom,Offensive
168,shut yo bitch ass,Offensive
169,gucci mane jail dropping mixtapes every month hoes even text back,Offensive
170,love hoes money wats wrong nigga,Offensive
171,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,Offensive
172,easy cum easy hoe fact,Offensive
173,charlie sheen real major fucking respect charlie sheen,Offensive
174,wish bae got hoes tho,Offensive
175,fuck twerking bitch cook,Offensive
176,bitch wtf,Offensive
177,rheyd shut zoe fight pussy zoe good man good move along,Offensive
178,lmao fucking snake bitches em,Offensive
179,big booty hoes everywhere sheesh damn,Offensive
180,stay tuned update repo b week,Neither
181,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao,Neither
182,oregon chokes every year get field trash ass program rft,Offensive
183,def cowboy lol  terrell owens best eagle amp cowboy ever dude cried like bitch tv romo,Offensive
184,lmfaoooo hate black people black people nigg,Hate
185,tolife could u bitch pot,Offensive
186,pissed lad past would lick diy soles slept,Neither
187,love frat boy w soft long sol,Neither
188,sexy lad hot soles arch,Neither
189,nah fam gotta cheat hoes depends female feel,Offensive
190,got hicks lol,Neither
191,new twitter confusing shit go back south america bitch,Offensive
192,toto means ass vagina think pussy cause toto santi like nasty pussi,Offensive
193,actually choose ugly bitch ass must fat,Offensive
194,bitch kill vibe ya tried dis love miley,Offensive
195,tired bitches saying look mean nigga big af wear tight shis grim everybodi,Offensive
196,birds grandkids may never see thanks climate chang,Neither
197,stay beautiful bitch,Offensive
198,r purple ceeeleee man gurl jus playin stupid hoe track still shitted sum gurl,Offensive
199,money getting taller bitches getting blurri,Offensive
200,never seen bitch obsessed nigga obsessed min,Offensive
201,kobe stay talking trash let forget meant one smh,Offensive
202,least nigger lmfao,Hate
203,people always asking mixed bad asian bitch lol,Offensive
204,ariza snake coward least cripple like hero roach lmaoo,Hate
205,fosters home imaginary trash whoa chill show everything tf,Neither
206,lowkey tired tired quiet go sleep ho,Offensive
207,stop bringing weird niggers ment,Offensive
208,love ho,Offensive
209,yo girl cant homeboys ol weak bitch ass nigga,Offensive
210,think worst advice gave pussy speed lol,Offensive
211,quote tweet favorite animal pussi,Offensive
212,hate strippers tell dancers hoe ballet dancers pop pussy beethoven stripp,Offensive
213,andrewbryant poff double vision beerspoff double pussy smh,Offensive
214,bitches twerk computer ya ya damn,Offensive
215,prince a nobody takin bitch,Offensive
216,welfare government aid claimed white people black slander trash,Neither
217,bitches care play rol,Offensive
218,took find hiding lime tree dis bitch da wrong tree bro,Offensive
219,drakes new shoes released nike jordan yes glitter shoes dudes fag,Hate
220,inna di ghetto alone lmaoo,Neither
221,tolife hoes austin teach us austin teach u get curved know,Neither
222,bitches cook know suck dick on,Offensive
223,fat hoes get chose lol,Offensive
224,well hoes one expects loy,Offensive
225,ol bitch ass,Offensive
226,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo,Offensive
227,tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck,Offensive
228,holy shit freddie highmore charlie chocolate factory rolls floor laugh,Offensive
229,want sex gf feel like using anonymous whata faggot,Offensive
230,one followers somebody bitch,Offensive
231,ya bitch always bitching clearly care annoying bitch,Offensive
232,catfish hoes thinkin slick niggas catch,Offensive
233,worry bitch worried bout,Offensive
234,side hoes insecure niggas handle real on,Offensive
235,lmao bitch come scooting tent like fuck shit,Offensive
236,cousin said share hoes brothers said sharing caring love broth,Offensive
237,hungry ionn wanna spend money food broke hoe problem,Offensive
238,dese hoes lyin us nigga,Offensive
239,oh yeah fuck bitch,Offensive
240,eli manning threw nfl leading th interception season lmao trash,Neither
241,usc senior rb anthony brown calls head coach steve sarkisian racist quits team bitch,Neither
242,guess also zero time mansplaining adios stfu pussi,Offensive
243,chilling sexy scally lad,Neither
244,sharing bitch mines min,Offensive
245,money impress simple broke bitch,Offensive
246,never anybody bitch let people control change rigghhht,Offensive
247,stanleys tuku ho idk blah blah blah,Neither
248,stanleys mad cuh hahaha suure tuku ho ita,Neither
249,hoes crazi,Offensive
250,ever gonna slice bitch kevin ha,Offensive
251,oomf fuckin fine tho dam bitch,Offensive
252,wonder girl gave head boys drink magaluf twitter probly sends nudes fag,Offensive
253,yeah bitch yeah bitch call maybeb steve oc laterd jesse pinkman,Offensive
254,hickies thighs right pussy gt gt gt right,Offensive
255,would still love longer young beautiful ugly monkey ass,Offensive
256,come front bitch com,Offensive
257,faggot bitch,Offensive
258,yea ipad work friday let ball faggot work,Offensive
259,scally lad would get,Neither
260,halloween yesterday stupid nigg,Hate
261,chrus still supahot tho walks teacher test drops test bitch fohead,Offensive
262,love eating pussy lol never get full lol eat shit forever lol ev,Offensive
263,slushes hoes nasty anyway fam hoes taste like m,Offensive
264,slushes hoes nasty anyway fam,Offensive
265,bobby bitch getting live fuck hell yea play hoe workout,Offensive
266,yo bitch gucci mane  bitch ston,Offensive
267,ride bitch handle bar,Offensive
268,hoe get traphoussseeee,Offensive
269,sad tv character deaths still bitter stark man,Neither
270,harbor bitches pay bus hoes lol,Offensive
271,pussy lov,Offensive
272,ultraviolence video coming little bitch lana del rey bitchy promo,Offensive
273,way fuck bitch lmfao kittycopt,Offensive
274,smuggler explains helped fighters along jihadi highway,Neither
275,aww avis look cute together gotta get ike avi bitch,Offensive
276,simple dont hoe dont worry exposed fight,Offensive
277,whys bitch boosting size exactly healthy tho,Offensive
278,nonlykeisha bet bitches kim by,Offensive
279,damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco,Offensive
280,making marack girlfriend aye b pullin hoes like taught,Offensive
281,bruno fag boy lov,Offensive
282,must bitch sike naw always beef,Offensive
283,look rally bottom th,Neither
284,take advantage nice person hoes everyjuan,Offensive
285,happy bihday bitch nigga thanks p,Offensive
286,sad knowing hoes fuck bc got stacks wait till friday,Offensive
287,cinco shit harder fucc nigga yee fucc wit rich homie cuz dats ya homeboy fucc nicca,Offensive
288,rheyd ewww said last sunday last sunday read nig,Offensive
289,punch real niggas face cause pussy nigga gonna punch right back strong mush shak,Offensive
290,pussy still fresh lt something stank girls say,Offensive
291,ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,Offensive
292,yeah texans much better fucking retard see mad,Offensive
293,nd wtf dark bitches blonde please several seats hoe looking like black amp mild,Offensive
294,lane bitches need stay left n get right fuck outta fac,Offensive
295,hate boys deny bitches smh,Offensive
296,ya nigs still saying eat butt straight fac,Offensive
297,im boss ass bitch needs sit corn,Offensive
298,hoe,Offensive
299,paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da street,Offensive
300,bitches hold nigga get locked nigga go college military different stori,Offensive
301,friends hate ratchet ho,Offensive
302,love fuck niggas ho,Offensive
303,hot meat sexy fuck scally lad would love meet train,Offensive
304,sniff perved scally lad fuck yeah,Offensive
305,bitches love sosa,Offensive
306,legit watched seconds wtf prob cause retarded smh,Offensive
307,name cat ideas mr pussi,Offensive
308,woof woof sexy thug boy sc,Offensive
309,nonlykeisha u see damn phone ringing married bitches makes demands cal,Offensive
310,tevin favorite sophomore think funny hes really lmaoo hes little ho,Offensive
311,sex positions u call fucking soul outta bitch,Offensive
312,bored supposed cute faggot sometim,Hate
313,one mans trash another mans treasur,Neither
314,got type bad bitches thing like iongotnotyp,Offensive
315,lassen cc coach wants feel youll get nig doubt,Hate
316,god teeth gold chainwhite bitches cocain,Offensive
317,hoe hoe shhhhh,Offensive
318,c call rollers chiraq call thots across america known ho,Offensive
319,gonna miss bitch bus driver li,Offensive
320,gone hate bitches try put friendzone bitch tryin score put endzone soul,Offensive
321,ashley young tried deny bird landed mouth gt hahaha,Neither
322,yall gimped tht bitch huh lol,Offensive
323,take ride woof woof,Neither
324,oh god love victoria mitchell bitches lov,Offensive
325,long distance shit wack knew bitch cheating uh oh,Offensive
326,right bitches smh,Offensive
327,ban dat pussy life amp gotta pay millon dollar fin,Offensive
328,roses red violets blue niggers black know tru,Offensive
329,rillaz e sitting window sill window open bird tries fly smack,Neither
330,nigga gon nigga nigga sound fuckin retard,Offensive
331,video entire media likely mock crybabi,Neither
332,even shy stfu kikis mom hi angelique angelique smiles dips cracker soup,Offensive
333,tim tebow got cut every team nfl already got hoes starkville smh,Offensive
334,karma bitch sips tea,Offensive
335,fuckin hot gym pussy fuck yeah,Offensive
336,jihadi patron hajjaj al ajmi arrested kuwait airpo,Neither
337,call fireman cause turn ho,Offensive
338,could never bby lil dick thts got aboion last bitch oh god,Offensive
339,watch women try argue like dick actually fucked pussy hate bitch,Offensive
340,smoke weed public fuck cops man wanna run come retard,Offensive
341,tweety bird tho,Neither
342,pussy sweet like watermelon thotermelon,Offensive
343,twitter rappers dm trash link,Neither
344,loud bitches annoy,Offensive
345,eventually every bitch turns hoe truuu,Offensive
346,swear oomf try talking tomorrow pussi,Offensive
347,bitches pretending tf crazy never li,Offensive
348,k bye hoe um by,Offensive
349,jackies retard least make grilled chees,Hate
350,ima keep giving pussy ass niggas ah reason h,Offensive
351,photo sole heaven,Neither
352,stacey dash baddest bitch evaaaa,Hate
353,side bitch sunday,Offensive
354,facts baldheaded bitch made shit lmao,Offensive
355,fuck wit us tweakin hoe shmurda,Offensive
356,actin like th day spook,Neither
357,break lil bitch neck even feel sorry savag,Offensive
358,fucking hot love kinky sc,Offensive
359,dumb ass niggas pressed hoes weak fuck fuck weed hoes oreo,Offensive
360,turn yo bitch eaterrrrrrrrr,Offensive
361,trust dese hoes nikki told st stay fans screen shot asap finna come chiraq shoot sumn,Offensive
362,aye yall ima tryout bowling team frfr tryouts passed tho theres two retard,Offensive
363,u got u want bitch enjoy crazy pay would love attend,Offensive
364,colored contacts eyes blinders mine cause see lmao,Neither
365,facts dudes hoes say got ho,Offensive
366,rea sta smacking bitches period bluffin best,Offensive
367,lifes bitch die thats get high cause neva know gonna go sister perfect,Offensive
368,one us drugs still wrong hahahahahahah im bitch sometim,Offensive
369,feeling pretty fuckin ghetto smh,Offensive
370,tolife swears man easily easily behind austin nip,Neither
371,true ride die bitch fuck hahahahah,Offensive
372,h g wells charlie chaplin,Neither
373,see bruno bitch ass twitter wtf bruno sees drake voic,Offensive
374,cool faggot chill tf cool nigga,Offensive
375,sure bitch frfr tf,Offensive
376,twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet,Offensive
377,got couple bitches saying know let money talk lik,Offensive
378,grudges weirdos bitch,Offensive
379,told mariam cigarettes bihday also called trash rn,Neither
380,edham brownies tonight kind,Neither
381,text back give fuck text another bitch damn someone hu lol,Offensive
382,ummmmmm okay got hoes left right yah thang,Offensive
383,using mx b find slope ass,Offensive
384,fit lads nice gear scally lads n trainers would get,Neither
385,hell yeah bro fuck yeah sexy scally lad hot gear,Offensive
386,helping mate love scally play fuck yeah,Offensive
387,lads lads fuck yeah love scally lad action hot train,Offensive
388,next year bitches gonna like gotta promise expos,Offensive
389,hot  lick bitch fuck yeah eat trainer u diy fuck,Offensive
390,gcincokilby think celebrity pussy different locals yeah meghan good,Offensive
391,saw ajumma walk beginning saying wow trash even listen lmaoo,Neither
392,need sox fuck yeah love kinky scally lad w rank sox sneak,Offensive
393,ever expose females like childish bitch nigga shiiii,Offensive
394,sexilexi yasss trys new things bestfriend bitch lov,Offensive
395,dude remember wop video sexilexi omg find,Neither
396,thick raw fuck damn man pussy getting workout,Offensive
397,rawr  sexy french scally love sexy scally woof woof,Neither
398,nothin life free bitches need write ya panti,Offensive
399,one bitches want burrito u catch potosino huh haha,Offensive
400,niggas whole hoes cuz said bett,Offensive
401,hardcore way eat mac cheese boil water sno cheese powder drink boiling water fuck bitch,Offensive
402,fade perpetually fresher real ass bitch rit,Offensive
403,annoying bitch love judyann pretti,Offensive
404,lmao bitch got huggi,Offensive
405,hi bitch bitchbye bitch,Offensive
406,look like bitch,Offensive
407,chase money ho,Offensive
408,stand know want ass nigga bitch,Offensive
409,way love hot sexy scally fuck,Offensive
410,newly gay bitches kno shit work,Offensive
411,bitch want real job become strippers lol lol,Offensive
412,awww meat meat feelins ainn n feelings bitch,Offensive
413,want snake bites industrial piercin amp tattoo dem hoe accessories dea,Offensive
414,baby albino,Neither
415,hoes loy,Offensive
416,yassssss ordered chinese bitch ate tacos fat fuck,Offensive
417,mbiedance made bitch lunch bitches love lunch,Offensive
418,brainer soon bitch gets rich political power views change political whor,Offensive
419,pussy day keeps devil away,Offensive
420,bitch mean,Offensive
421,bitches want baby want children,Offensive
422,bitch must lost,Offensive
423,baby like left side bitch cuz street side twitter said r,Offensive
424,bae sounds like ghetto word use something els,Neither
425,batter wee cunt jewis cos fucked ex emma isnt battering girls nailed ive moved stop pussy n urself,Offensive
426,bleed hoe alexa,Offensive
427,boolin bando wit bitch,Offensive
428,brownies brownie love movi,Neither
429,need bad bitch hotter might realist shit paynextdoor ever said feelin everyday,Offensive
430,way punch bitch,Offensive
431,caesar home  much bitch looks like lets sta ape shit,Offensive
432,chinese maverick communicating comrade u know giving imperialist yanks birdi,Neither
433,dad say hi snapchat dad duces bitch,Offensive
434,believe hoes fact loyal disagree believe fact loyalest bunch ho,Offensive
435,know ugly bitches know broke nigga,Offensive
436,make make fall live nigga like meee birds amp favorite songs weeknd,Offensive
437,worry nigga see worry nigga see dat da nigga fuckin yo bitch,Hate
438,ever give pussy away keep tight alright,Offensive
439,dropped stack cause bitch poloboy song called dope download mixtap,Offensive
440,dumb bitches dumb th,Offensive
441,eat pussy like real nigga hungri,Offensive
442,eff let go crippl,Offensive
443,everything look better bitch next,Offensive
444,facto cares hoe ass looks lik,Offensive
445,every bad bitch nigga tired fuck,Offensive
446,foreign chick lie man bitch beauti,Offensive
447,fresh nigga kno need clean bitch kno working cuz wanna see team rich,Offensive
448,fuck make rules suck dragon balls bitch call goku,Offensive
449,generate ascii boxes nodejs see ability bring flappy bird node via ascii tubes bird,Neither
450,get shit bitch fine bear,Offensive
451,get ass back detroit ya fuckin wigg,Offensive
452,girls dated okay mad yo unless stabbed hea love ho,Offensive
453,know twitter password bitch pleas,Offensive
454,seen shows seen hoes hot would thick,Offensive
455,bitch hitting ho,Offensive
456,married white woman lucky sum bitch uncle ruckus,Offensive
457,wanna nigga trinna savings account omg imma funny ass bitch man real shit,Offensive
458,great grandmas hoe grandmas hoe moms hoe hoe long line hoes grandpa carl everyon,Offensive
459,hey go look video man found kidnapped girls ohio nigg,Hate
460,hey pussy stil,Offensive
461,draft gung ho folks send afghanistan war zones show,Neither
462,hotter bitch,Offensive
463,u talking hoes bout bro n em talking hoes bout bro n em,Offensive
464,crazy bitch hilari,Offensive
465,know shoes diy fuck whatever bitch call like negro one first things look shoes dog,Offensive
466,thrill billy hillbilly hea hahahahaha jesus murphi,Neither
467,call bitch,Offensive
468,handle liquor bitches handle meeedd chief sosa,Offensive
469,chase dudes chase bitches edgar bautista,Offensive
470,love hoes baby forev,Offensive
471,dont even need picture tamar bitch beat every pictur,Offensive
472,dont ho,Offensive
473,found new way chug open mouth alot,Neither
474,fucking hate bitch much wanna smack face tongue kiss,Offensive
475,got bitch set like jada picket queen latifah riding round nieces bitch t,Offensive
476,got sister told stop calling women bitch,Offensive
477,guess night bitches die stewie nigga,Offensive
478,bitch bitch bitch eating halibut,Offensive
479,lady loveshe married still wanna bang hershe sex mewhat bitch troubadour prob,Offensive
480,heard looking candy man bitch,Offensive
481,hope get mad ladies call bitches bitches bc know names individually katt william,Offensive
482,got number bitch boy,Offensive
483,know shit eatin grin either fucked girl dreams sold car know faggot sel,Offensive
484,older men cause mature supposed fool us bitch,Offensive
485,prolly leave bitch cups hand yo hand hand,Offensive
486,said like tastes like wolf pussy even know tastes lik,Offensive
487,taught eat pussy cut hair taught eat pussy hair name movi,Offensive
488,used dress like cop oh really yeah right mad pussy really yes never forget,Offensive
489,went jail flock amp came home wit strike went jail bitch came home dik,Offensive
490,fuck u u stand u dizzy bitch two unique amp separate phrases overheard relative saying young,Offensive
491,woke like thi bitch go back b,Offensive
492,would rather call bitch sir manag,Offensive
493,beat pussy hard,Offensive
494,slit throat neck,Neither
495,funky ass honkey shout tonight cabaret tour,Offensive
496,comparing kfc pussi,Offensive
497,downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot,Offensive
498,feelin like malcolm middle bitches surround miss em,Offensive
499,gonna piss dimple stop wasting prayers trash teams lol,Offensive
500,probably main bitch chocolate dipped cinnamon appl,Offensive
501,sick shit man sit bitch ass fed bro  sbaby life geno threw yet another pick smh,Offensive
502,sorry fucked yo bitch really dig nigga,Offensive
503,ibs irritable bitch syndrom,Offensive
504,love hide yo bitch keep shoi,Offensive
505,talk back getting pussi,Offensive
506,bad bitch put hands high every girl room stas waving hands around,Offensive
507,imma tie bitch basement donkey fuck ass two weeks straight hahahahahahahahaha centmovi,Offensive
508,mind gotta dumb hoe anthem,Offensive
509,albino mexican dad asian,Neither
510,takes true directioner accept larry know bitch fans like make boys cri,Offensive
511,allegations u bedroom u see words naive amp blind bitch know ur husband cheated u ramona dumb,Offensive
512,never late tag bitch,Offensive
513,dykes hunter dyke dyk,Offensive
514,julia robes ho,Offensive
515,follow yellow brick twitt,Neither
516,lmfaoooooooooooooooooo pussy good mama like guess gotta go mama,Offensive
517,lol cripple wendy davis  scientists create remote controlled chick study shy penguin,Neither
518,let nips ahoy spank mayb,Offensive
519,let kill cracker babies wtf hear wow,Hate
520,like correct wrong pimpin involve smackin bitches money,Offensive
521,lmao  sbaby life pound cake look like pussi,Offensive
522,lmao rose adidas lighter phone shit retard,Offensive
523,mam ren e doet haar rol net ze ongesteld wat ongesteld van dat soo vragen waar je denkt hoe leg ik die weer uit,Neither
524,maybe wants friend maybe stupid bitch never know make cum,Offensive
525,mine plays dmx kirk franklin smh well neighbors ghetto get like beat kid,Neither
526,grandma used call porch monkey time come think refer broken bottle nigger knif,Hate
527,momma told tell mind yoooo damn motha fuckin business knowin bitch,Offensive
528,nips freeeeezing okay slicing bra,Offensive
529,twitter hacked pussy admit said want act like never said,Offensive
530,nah girl gon able make tight since russ loss job back like damn bitch r,Offensive
531,nah yo thought photoshopped face faggot smmfh hate yal,Hate
532,new flame song yr lol bitch super run lik,Offensive
533,niggas always yelling fuck bitches get money meanwhile broke still want bitch,Offensive
534,niggas pressed pussy eeeeeen nothin,Offensive
535,bitches nan,Offensive
536,boats hoes please thanks mom,Offensive
537,ovo amp kendrick lamar still trash,Neither
538,top pregnant ass sorry hoe aint never got money even water brok,Offensive
539,couple red sox gotten past first base dying laughing maybe yanks need teach gam,Neither
540,people time aryan race stand say mongerls turn world ghetto slum,Hate
541,pistol whip dickau shoot yo bitch club sometimes freestyles freestyles okay,Offensive
542,please thanks pierced pussy come across timelin,Offensive
543,remy machiavelli send shots ya belly bitch,Offensive
544,robeo one nasty ho,Offensive
545,sorry jb fan really justin come back top comment justin timberlake video million views son fucking bitch,Offensive
546,searching incredible story white man quest find ingredients necessary make caribbean jerked chicken redneck land,Offensive
547,selling soul material wishes fast cars bitch,Offensive
548,shake bear aka two rednecks sex dead bear,Offensive
549,shall compare thee summer day summer day bitch,Offensive
550,gotta shape pussy lips tho whole wheat organic pussi,Offensive
551,said wigga man rich take du rag,Offensive
552,bitch anyway,Offensive
553,florida got sniff test swamp pussi,Offensive
554,slow fuck bitch know live classy young ladi,Offensive
555,good football player still acts like nig,Offensive
556,stop pussy son shove needle hea,Offensive
557,stop looking us go eat pussy yuppie fuck,Offensive
558,takin straight di finger pussy know put dick,Offensive
559,bro moves hoe mov,Offensive
560,girl plain looking borderline ugly amp chunky hey least got nice smile amp great person,Offensive
561,devil grows inside heas selfish wickedwhite brown yellow black color restrict,Neither
562,water yellow healthy stud,Neither
563,hoes loy,Offensive
564,hoes keep callin pickin,Offensive
565,sour apple bitter bitches fuckin wit em,Hate
